año,trimestre,tipo_construccion,estado_constructivo,estrato,ampliacion,licencia,area_zonas_comunes,area_uni_parqueaderos,cantidad_parqueaderos,precio_unitario_parqueadero,sistema_constructivo,mano_obra_permanente,mano_obra_temporal,mano_obra_noremunerada,area_vendible,numero_destinaciones,numero_destinaciones_vendidas,numero_destinaciones_inventario,numero_edificaciones,numero_pisos,precio_metro2_miles,area_total_construida,area_uni_destino,rango_precios_vivienda,usa_concreto_mezcla,usa_concreto_premezcla,unidad_destinaciones_vip,unidad_destinaciones_vis,unidad_destinaciones_novis,precio_mts_millones
2007,3,apartamentos,3,2,Nueva,sin licencia,60,NA,NA,NA,sistema aporticado,0,0,0,690,5,0,0,0,0,450,750,140,111 - 150 smmlv,NA,NA,NA,5,NA,450000
2007,3,locales,3,2,Nueva,sin licencia,60,NA,NA,NA,sistema aporticado,0,0,0,90,1,0,0,0,0,500,150,90,más de 350 smmlv,NA,NA,NA,NA,NA,500000
2007,3,apartamentos,2,2,Nueva,sin licencia,36,11,5,2000,sistema aporticado,0,0,0,445,6,0,0,0,0,500,481,65,91 - 110 smmlv,NA,NA,NA,6,NA,500000
2007,3,oficinas,4,3,Nueva,sin licencia,0,NA,NA,NA,sistema aporticado,0,0,0,200,1,0,0,0,0,750,200,200,más de 350 smmlv,NA,NA,NA,NA,NA,750000
2007,3,apartamentos,4,3,Nueva,sin licencia,0,NA,NA,NA,sistema aporticado,0,0,0,480,1,0,0,0,0,700,480,480,más de 350 smmlv,NA,NA,NA,NA,NA,700000
2007,3,apartamentos,4,3,Nueva,sin licencia,0,NA,NA,NA,sistema aporticado,0,0,0,150,1,0,0,0,0,800,150,150,más de 350 smmlv,NA,NA,NA,NA,NA,800000
2007,3,apartamentos,4,3,Nueva,sin licencia,0,NA,NA,NA,sistema aporticado,0,0,0,198,1,0,0,0,0,600,198,198,más de 350 smmlv,NA,NA,NA,NA,NA,600000
2007,3,otros,1,3,Nueva,sin licencia,0,NA,NA,NA,sistema aporticado,0,2,0,1162,1,0,0,0,0,700,1162,1162,más de 350 smmlv,NA,NA,NA,NA,NA,700000
2007,3,apartamentos,4,4,Nueva,sin licencia,10,NA,NA,NA,sistema aporticado,0,0,0,170,2,0,0,0,0,950,180,85,151 - 350 smmlv,NA,NA,NA,NA,NA,950000
2007,3,apartamentos,2,3,Nueva,sin licencia,91,12,7,4500,sistema aporticado,0,0,0,751,7,0,0,0,0,650,842,95,151 - 350 smmlv,NA,NA,NA,NA,7,650000
2007,3,apartamentos,2,3,Nueva,sin licencia,32,NA,NA,NA,sistema aporticado,0,0,0,303,3,0,0,0,0,650,335,81,151 - 350 smmlv,NA,NA,NA,NA,3,650000
2007,3,apartamentos,4,3,Nueva,sin licencia,0,NA,NA,NA,sistema aporticado,0,0,0,180,2,0,0,0,0,800,180,90,151 - 350 smmlv,NA,NA,NA,NA,NA,800000
2007,3,apartamentos,2,3,Nueva,sin licencia,100,NA,NA,NA,sistema aporticado,0,0,0,681,11,0,0,0,0,800,781,61,151 - 350 smmlv,NA,NA,NA,NA,11,800000
